Image url,Title,Design Type,Published,Published date,Total Applies,Total Usages
https://template.canva.com/EAFxnhW2OsM/1/0/400w-rD_3knVim-M.jpg,Cream and Brown Funny Cat Love,Instagram Post,Profile Only,"Oct 18, 2023",0,0
https://template.canva.com/EAFxnhZF-tk/1/0/400w-AgTCjqorftk.jpg,Red and White Special Promo Buy 1 Get 2,Instagram Post,Profile Only,"Oct 18, 2023",0,0
https://template.canva.com/EAFxnkiqXSE/1/0/400w-J7I9L2k_lBQ.jpg,Blue and White Free Digital Marketing Brochure Training,Instagram Post,Profile Only,"Oct 18, 2023",0,0
https://template.canva.com/EAFxjqks2JE/2/0/320w-0-2yKpaaUpc.jpg,Blue Watercolor Hello Winter Greeting Instagram Post,1080 x 1350 px,Profile Only,"Oct 18, 2023",0,0
https://template.canva.com/EAFxjip8RmE/1/0/225w-1e7tyqDY0_g.jpg,Blue Simple Animated Happy Stem Day Your Story,Your Story,Profile Only,"Oct 18, 2023",0,0
https://template.canva.com/EAFxiXVLNvM/1/0/400w-37L7pSVHUlw.jpg,Red and White Modern Delicious Pizza Instagram Video Promo,Instagram Post,Profile Only,"Oct 18, 2023",0,0
https://template.canva.com/EAFxiXXaEJc/1/0/320w-bmJjn3C5JC8.jpg,Orange and Black International Stem Day Instagram Post,1080 x 1350 px,Profile Only,"Oct 18, 2023",0,0
https://template.canva.com/EAFxeWedaCE/2/0/284w-8WBf60WwFVU.jpg,White and Yellow Modern Halloween Party Animated Card,Card (105 x 148 mm),Profile Only,"Oct 17, 2023",0,0
https://template.canva.com/EAFxeR48qj4/2/0/284w-GHeM-Brjc1A.jpg,Green White Modern Animated Video Christmas Party Card,Card (105 x 148 mm),Profile Only,"Oct 17, 2023",0,0
https://template.canva.com/EAFxc7oeDsc/1/0/320w-P4-sQ6cyhvM.jpg,Yellow and black modern burger sale instagram post,1080 x 1350 px,Profile Only,"Oct 17, 2023",1,0
https://template.canva.com/EAFxce3hRNY/2/0/320w-1FUfwPD9cZU.jpg,Red and White Animated Special Pizza Instagram Post,1080 x 1350 px,Profile Only,"Oct 17, 2023",0,0
https://template.canva.com/EAFxZkKM-YA/5/0/283w-ap1fgl1l-wM.jpg,Dental Clinic Poster,Poster,Profile Only,"Oct 16, 2023",0,0
https://template.canva.com/EAFxZrIXFGY/3/0/283w-TkkEnlaW-Cs.jpg,Gym Center Poster,Poster,Profile Only,"Oct 16, 2023",0,0
